ID_0,NAME_0,FATALITIES,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,BUILDINGS_AFFECTED,BUILDINGS_DAMAGED,BUILDINGS_COLLAPSED,ECONOMIC_LOSSES,INSURED_LOSSES,INDUCED_EFFECTS,REFERENCE,COMMENTS
MEX,Mexico,362-369,6000,5000,,"9772, 10000",184000,226,6000000000-8000000000 USD,,,NOAA,"The statistic assigned to BUILDINGS_COLLAPSED is expressed as ""Houses destroyed"" in the main reference. DISPLACED_POPULATION values only refer to Tlayacapan. BUILDINGS_AFFECTED first value only refers to Puebla. BUILDINGS_AFFECTED second value only refers to Morelos."
MEX,Mexico,369,6000,,250000,,,,6000000000 USD,2000000000 USD,,EM-DAT,"Geo locations: Chiapas, Distrito Federal, Guerrero, Mexico, Morelos, Oaxaca, and Puebla (Adm1)."
MEX,Mexico,369,7289,193546,,,54473,19261,,,,EID,"DISPLACED_POPULATION values only refers to Guerrero State.    
The statistic assigned to BUILDINGS_COLLAPSED is expressed as ""buildings destroyed"" in the main reference.
                                                                                                                                                                                                                                                                                                                                                "
MEX,Mexico,,,,,,500,50,,13000000000-36700000000 MXN,,Verisk,BUILDINGS_COLLAPSED and BUILDINGS_DAMAGED  values only refer to Mexico City.
MEX,Mexico,362,6000,,,,,44,,,,USGS,BUILDINGS_COLLAPSED values only refers to Mexico City.
MEX,Mexico,471,6011,> 5000,,190000,,,,,,Reliefweb,"BUILDINGS_AFFECTED values refers to housing units.
DISPLACED_POPULATION values refer to ""victims"" that used temporary shelter."
MEX,Mexico,369,6011-7289,,30000,11495,,59,8000000000 USD,, Landslide,Wikipedia,"BUILDINGS_COLLAPSED values only refers to Mexico City.
91 Million MXN where donated by overseas organizations"
MEX,Mexico,369,,,,,155674,38,,,,UNICEF_2017,"BUILDINGS_COLLAPSED values only refer to Mexico City.
From the mentioned statistics for FATALITIES, 228 of them related to Mexico City."
MEX,Mexico,370,6000,,,,10000-20000,100,400000000-5000000000 USD,,,IDMC_2019,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED  values only refers to Mexico City.
MEX,Mexico,,,,,9722,,1632,,13000000000-36700000000 MXN Or 725000000-2000000000 USD,,GEER_2017,
MEX,Mexico,,,,,150000,,,,,,Yolanda_Alberto_et_al_2018_b,
MEX,Mexico,250,1900,,,20000,,,,,,USAID,"FATALITIES, INJURIES, and BUILDINGS_AFFECTED values refer to Mexico city."
MEX,Mexico,369,,,,,,,6000000000 USD,2000000000 USD,,TOPICS_GEO_2017,
